Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name
Home Box Office (HBO),87400,Home Box Office (HBO),0,Home Box Office (HBO)
Citadel Film Group,86858,Citadel Film Group,0,Citadel Film Group
Music Masala Films,85739,Music Masala Films,0,Music Masala Films
Norador Productions,82916,Norador Productions,0,Norador Productions
Flicker Alley,78425,Flicker Alley,0,Flicker Alley
Alluvial Film Company,77556,Alluvial Film Company,0,Alluvial Film Company
Ammo Content,77217,Ammo Content,0,Ammo Content
Vanish Films,72791,Vanish Films,0,Vanish Films
Round Hill Media,72476,Round Hill Media,0,Round Hill Media
Two Silks Releasing,71509,Two Silks Releasing,0,Two Silks Releasing
Small Island Films,69740,Small Island Films,0,Small Island Films
Breaking Glass Pictures,69224,Breaking Glass Pictures,0,Breaking Glass Pictures
Stone Five Studios,67665,Stone Five Studios,0,Stone Five Studios
House Lights Media,66726,House Lights Media,0,House Lights Media
Ocean Releasing,62186,Ocean Releasing,0,Ocean Releasing
InterPositive Media,60332,InterPositive Media,0,InterPositive Media
Myriad Pictures,58669,Myriad Pictures,0,Myriad Pictures
Dreamwest Pictures,57759,Dreamwest Pictures,0,Dreamwest Pictures
Driving With Our Eyes Shut,57725,Driving With Our Eyes Shut,0,Driving With Our Eyes Shut
Sidetrack Films,56386,Sidetrack Films,0,Sidetrack Films
120 Degree Films,56127,120 Degree Films,0,120 Degree Films
Gorilla Factory Productions,55398,Gorilla Factory Productions,0,Gorilla Factory Productions
National Amusements,54965,National Amusements,0,National Amusements
Walking Shadows,54645,Walking Shadows,0,Walking Shadows
Tilapia Film,53471,Tilapia Film,0,Tilapia Film
Grassroots Films,52296,Grassroots Films,0,Grassroots Films
Sundance Selects,50203,Sundance Selects,0,Sundance Selects
21st Century Film Production,50090,21st Century Film Production,0,21st Century Film Production
Rocket Releasing,50053,Rocket Releasing,0,Rocket Releasing
Quadratic Media,50020,Quadratic Media,0,Quadratic Media
Fader Films,49940,Fader Films,0,Fader Films
Truth Aid,49667,Truth Aid,0,Truth Aid
Spacey,49591,Spacey,0,Spacey
Participant,49482,Participant,0,Participant
New American Vision,49037,New American Vision,0,New American Vision
Olive Films,48036,Olive Films,0,Olive Films
S2BN Films,47718,S2BN Films,0,S2BN Films
Carusel,47699,Carusel,0,Carusel
Thread Cross Films,47243,Thread Cross Films,0,Thread Cross Films
Wave Releasing,47071,Wave Releasing,0,Wave Releasing
Rockstone Releasing,46777,Rockstone Releasing,0,Rockstone Releasing
Le Petit Canyon,46437,Le Petit Canyon,0,Le Petit Canyon
Fine Line Media,45680,Fine Line Media,0,Fine Line Media
Original Cinema,45488,Original Cinema,0,Original Cinema
Shotown Pictures,45177,Shotown Pictures,0,Shotown Pictures
Darius Films,44462,Darius Films,0,Darius Films
ISA Releasing,44287,ISA Releasing,0,ISA Releasing
Cartuna,44230,Cartuna,0,Cartuna
Waldo West Productions,43907,Waldo West Productions,0,Waldo West Productions
Doppelganger Releasing,43751,Doppelganger Releasing,0,Doppelganger Releasing
Rumur Releasing,42613,Rumur Releasing,0,Rumur Releasing
Eammon Films,40952,Eammon Films,0,Eammon Films
Comedy Dynamics,40513,Comedy Dynamics,0,Comedy Dynamics
New Love Films,40181,New Love Films,0,New Love Films
Success Films,39200,Success Films,0,Success Films
Onyx Films,39033,Onyx Films,0,Onyx Films
The World According to Shorts,38381,The World According to Shorts,0,The World According to Shorts
Cinema Tropical,38284,Cinema Tropical,0,Cinema Tropical
Transatlantic,36885,Transatlantic,0,Transatlantic
Linn Productions,35839,Linn Productions,0,Linn Productions
At Risk Films,35413,At Risk Films,0,At Risk Films
108 Pics,35100,108 Pics,0,108 Pics
Viz Media,34424,Viz Media,0,Viz Media
Cavalier Films,34068,Cavalier Films,0,Cavalier Films
Halo8 Releasing,34000,Halo8 Releasing,0,Halo8 Releasing
Women Make Movies,33312,Women Make Movies,0,Women Make Movies
Active Fox Productions,32956,Active Fox Productions,0,Active Fox Productions
Altered Innocence,32516,Altered Innocence,0,Altered Innocence
Sceneries Distribution,31738,Sceneries Distribution,0,Sceneries Distribution
Newcity,31551,Newcity,0,Newcity
Moving Visions Entertainment,30104,Moving Visions Entertainment,0,Moving Visions Entertainment
Mypheduh Films,30071,Mypheduh Films,0,Mypheduh Films
Cinipix,29863,Cinipix,0,Cinipix
MCR Releasing,29796,MCR Releasing,0,MCR Releasing
Cinema Four,29786,Cinema Four,0,Cinema Four
25th Frame,29495,25th Frame,0,25th Frame
MSK Productions,28643,MSK Productions,0,MSK Productions
Roebuck Media,27565,Roebuck Media,0,Roebuck Media
TriCoast Worldwide,27485,TriCoast Worldwide,0,TriCoast Worldwide
Organic Pictures,27157,Organic Pictures,0,Organic Pictures
Trela Media,27052,Trela Media,0,Trela Media
Sagewood Cinema Ventures,26859,Sagewood Cinema Ventures,0,Sagewood Cinema Ventures
RKO Radio Pictures,25032,RKO Radio Pictures,0,RKO Radio Pictures
Steelyard Pictures,25000,Steelyard Pictures,0,Steelyard Pictures
Stand Up Films,24110,Stand Up Films,0,Stand Up Films
The Movie Partners,23616,The Movie Partners,0,The Movie Partners
Streetlight Films,23470,Streetlight Films,0,Streetlight Films
Riot Studios,23419,Riot Studios,0,Riot Studios
Quixotic Media,22938,Quixotic Media,0,Quixotic Media
Cabin Films,22539,Cabin Films,0,Cabin Films
Striped Entertainment,22395,Striped Entertainment,0,Striped Entertainment
Red Dirt Pictures,22267,Red Dirt Pictures,0,Red Dirt Pictures
Idle Wild Films,22257,Idle Wild Films,0,Idle Wild Films
Unison Films,22251,Unison Films,0,Unison Films
Watchman Pictures,22167,Watchman Pictures,0,Watchman Pictures
Skylight Pictures,20055,Skylight Pictures,0,Skylight Pictures
GoGoGo Entertainment,19908,GoGoGo Entertainment,0,GoGoGo Entertainment
NoCoast Artists,19463,NoCoast Artists,0,NoCoast Artists
Wonder Vision,18654,Wonder Vision,0,Wonder Vision
Follow Your Nose Films,18558,Follow Your Nose Films,0,Follow Your Nose Films
El Tigre,18399,El Tigre,0,El Tigre
Joma Films,18356,Joma Films,0,Joma Films
Gigapix Releasing,18193,Gigapix Releasing,0,Gigapix Releasing
Media Blasters,18062,Media Blasters,0,Media Blasters
WRA Productions,18051,WRA Productions,0,WRA Productions
Kartemquin Films,17306,Kartemquin Films,0,Kartemquin Films
Hey Jude Productions,17099,Hey Jude Productions,0,Hey Jude Productions
Clay Way Media,16901,Clay Way Media,0,Clay Way Media
Dutchmen Films,16011,Dutchmen Films,0,Dutchmen Films
Gabriel Film Group,15900,Gabriel Film Group,0,Gabriel Film Group
Yellow Veil Pictures,15849,Yellow Veil Pictures,0,Yellow Veil Pictures
Atopia,15839,Atopia,0,Atopia
600 West Productions,15610,600 West Productions,0,600 West Productions
Delaware Pictures,15514,Delaware Pictures,0,Delaware Pictures
FilmDemic,15005,FilmDemic,0,FilmDemic
SingularDTV,14905,SingularDTV,0,SingularDTV
Cockeyed Caravan,14831,Cockeyed Caravan,0,Cockeyed Caravan
HP Releasing,14804,HP Releasing,0,HP Releasing
The 7th Floor,14756,The 7th Floor,0,The 7th Floor
GoDigital,14615,GoDigital,0,GoDigital
All Rise Films,14457,All Rise Films,0,All Rise Films
Rogue Arts,14401,Rogue Arts,0,Rogue Arts
The Ashton Times,14360,The Ashton Times,0,The Ashton Times
Datari Turner Productions,13546,Datari Turner Productions,0,Datari Turner Productions
Barking Cow Media Group,13385,Barking Cow Media Group,0,Barking Cow Media Group
PFM,13128,PFM,0,PFM
7A Productions,13093,7A Productions,0,7A Productions
Tostie Productions,13080,Tostie Productions,0,Tostie Productions
Diversa Films,12959,Diversa Films,0,Diversa Films
Cinemax,12798,Cinemax,0,Cinemax
Revolver Entertainment,12628,Revolver Entertainment,0,Revolver Entertainment
Mile End Films,12306,Mile End Films,0,Mile End Films
Fork Films,12267,Fork Films,0,Fork Films
Prime Media Pictures,12077,Prime Media Pictures,0,Prime Media Pictures
High Cotton Films,11975,High Cotton Films,0,High Cotton Films
Mandt Bros. Productions,11951,Mandt Bros. Productions,0,Mandt Bros. Productions
Aliquot Films,11799,Aliquot Films,0,Aliquot Films
Sony Pictures Home Entertainment,11729,Sony Pictures Releasing,1,Sony Pictures Releasing
Loop Filmworks,11305,Loop Filmworks,0,Loop Filmworks
Mr. Pictures,11257,Mr. Pictures,0,Mr. Pictures
Newport Films,11001,Newport Films,0,Newport Films
Attitude Films,10720,Attitude Films,0,Attitude Films
Bonfire Films of America,10645,Bonfire Films of America,0,Bonfire Films of America
Silver Plane Films,10629,Silver Plane Films,0,Silver Plane Films
Two Moon Releasing,10535,Two Moon Releasing,0,Two Moon Releasing
Lafayette Films,10310,Lafayette Films,0,Lafayette Films
Dinsdale Releasing,10289,Dinsdale Releasing,0,Dinsdale Releasing
Sumbadhat Productions,9914,Sumbadhat Productions,0,Sumbadhat Productions
Inspired Life,9811,Inspired Life,0,Inspired Life
Osiris Entertainment,9652,Osiris Entertainment,0,Osiris Entertainment
26 Aries,9522,26 Aries,0,26 Aries
Manifesto Films,9377,Manifesto Films,0,Manifesto Films
Delphi Film Foundation,9376,Delphi Film Foundation,0,Delphi Film Foundation
Vanguardia Films,9338,Vanguardia Films,0,Vanguardia Films
Pro-Motion Pictures,9004,Pro-Motion Pictures,0,Pro-Motion Pictures
Direct Cinema Limited,8350,Direct Cinema Limited,0,Direct Cinema Limited
D Street Releasing,8340,D Street Releasing,0,D Street Releasing
Spats Films,8329,Spats Films,0,Spats Films
Miracle Film Distribution,8018,Miracle Film Distribution,0,Miracle Film Distribution
Microangelo Entertainment,7763,Microangelo Entertainment,0,Microangelo Entertainment
Engel Entertainment,7718,Engel Entertainment,0,Engel Entertainment
Gold Cap Films,7373,Gold Cap Films,0,Gold Cap Films
Green Forest Films,7075,Green Forest Films,0,Green Forest Films
The Documentary Group,6795,The Documentary Group,0,The Documentary Group
Red Envelope Entertainment,6670,Red Envelope Entertainment,0,Red Envelope Entertainment
Radio London Films,6404,Radio London Films,0,Radio London Films
Hansen Entertainment,6220,Hansen Entertainment,0,Hansen Entertainment
Social Media Productions,6123,Social Media Productions,0,Social Media Productions
Boxcar Films,5902,Boxcar Films,0,Boxcar Films
Fox Trail Productions,5875,Fox Trail Productions,0,Fox Trail Productions
Aspiration Entertainment,5700,Aspiration Entertainment,0,Aspiration Entertainment
HB Filmworks,5444,HB Filmworks,0,HB Filmworks
The Only Real Game Movie,5384,The Only Real Game Movie,0,The Only Real Game Movie
Kinobild Releasing,5154,Kinobild Releasing,0,Kinobild Releasing
Hanover Multimedia,4950,Hanover Multimedia,0,Hanover Multimedia
Frontier Films,4779,Frontier Films,0,Frontier Films
The American Film Company,4646,The American Film Company,0,The American Film Company
Reel One Entertainment,4584,Reel One Entertainment,0,Reel One Entertainment
28 Entertainment,4254,28 Entertainment,0,28 Entertainment
Lonely Seal Releasing,3935,Lonely Seal Releasing,0,Lonely Seal Releasing
Plainview Pictures,3804,Plainview Pictures,0,Plainview Pictures
Dark Frames,3778,Dark Frames,0,Dark Frames
North Poplar Pictures,3763,North Poplar Pictures,0,North Poplar Pictures
Gravity Arch,3731,Gravity Arch,0,Gravity Arch
Scarlet Sky Productions,3648,Scarlet Sky Productions,0,Scarlet Sky Productions
Plexifilm,3604,Plexifilm,0,Plexifilm
Brothers' Ink Productions,3496,Brothers' Ink Productions,0,Brothers' Ink Productions
Cortelyou Films,3412,Cortelyou Films,0,Cortelyou Films
Four Eyed Monsters,3135,Four Eyed Monsters,0,Four Eyed Monsters
Dog Lover's Symphony,2968,Dog Lover's Symphony,0,Dog Lover's Symphony
Cinema Village Features,2554,Cinema Village Features,0,Cinema Village Features
Cheapo Films,2500,Cheapo Films,0,Cheapo Films
Tag Entertainment,2462,Tag Entertainment,0,Tag Entertainment
Synergetic Distribution,2367,Synergetic Distribution,0,Synergetic Distribution
Bullz Eye Productions,2268,Bullz Eye Productions,0,Bullz Eye Productions
Artsploitation Films,2255,Artsploitation Films,0,Artsploitation Films
Hummingbird Pictures,2216,Hummingbird Pictures,0,Hummingbird Pictures
Reactor 88 Studios,2207,Reactor 88 Studios,0,Reactor 88 Studios
Feature Presentations Releasing,2000,Feature Presentations Releasing,0,Feature Presentations Releasing
Lumiere Productions,1884,Lumiere Productions,0,Lumiere Productions
Zell-Koj Studio,1739,Zell-Koj Studio,0,Zell-Koj Studio
MarVista Entertainment,1598,MarVista Entertainment,0,MarVista Entertainment
Monarch,1590,Monarch,0,Monarch
Running Entertainment,1570,Running Entertainment,0,Running Entertainment
Blackrock Films,1532,Blackrock Films,0,Blackrock Films
Boll Films,1500,Boll Films,0,Boll Films
Kathi Arts,1416,Kathi Arts,0,Kathi Arts
Oilrag Productions,831,Oilrag Productions,0,Oilrag Productions
Phantom Pain Films,418,Phantom Pain Films,0,Phantom Pain Films
Check Entertainment,100,Check Entertainment,0,Check Entertainment
